@relation 'Cleaned Loan_Data'

@attribute Loan_ID {LP001002,LP001003,LP001005,LP001006,LP001008,LP001011,LP001013,LP001014,LP001018,LP001020,LP001024,LP001027,LP001028,LP001029,LP001030,LP001032,LP001034,LP001036,LP001038,LP001041,LP001043,LP001046,LP001047,LP001050,LP001052,LP001066,LP001068,LP001073,LP001086,LP001087,LP001091,LP001095,LP001097,LP001098,LP001100,LP001106,LP001109,LP001112,LP001114,LP001116,LP001119,LP001120,LP001123,LP001131,LP001136,LP001137,LP001138,LP001144,LP001146,LP001151,LP001155,LP001157,LP001164,LP001179,LP001186,LP001194,LP001195,LP001197,LP001198,LP001199,LP001205,LP001206,LP001207,LP001213,LP001222,LP001225,LP001228,LP001233,LP001238,LP001241,LP001243,LP001245,LP001248,LP001250,LP001253,LP001255,LP001256,LP001259,LP001263,LP001264,LP001265,LP001266,LP001267,LP001273,LP001275,LP001279,LP001280,LP001282,LP001289,LP001310,LP001316,LP001318,LP001319,LP001322,LP001325,LP001326,LP001327,LP001333,LP001334,LP001343,LP001345,LP001349,LP001350,LP001356,LP001357,LP001367,LP001369,LP001370,LP001379,LP001384,LP001385,LP001387,LP001391,LP001392,LP001398,LP001401,LP001404,LP001405,LP001421,LP001422,LP001426,LP001430,LP001431,LP001432,LP001439,LP001443,LP001448,LP001449,LP001451,LP001465,LP001469,LP001473,LP001478,LP001482,LP001487,LP001488,LP001489,LP001491,LP001492,LP001493,LP001497,LP001498,LP001504,LP001507,LP001508,LP001514,LP001516,LP001518,LP001519,LP001520,LP001528,LP001529,LP001531,LP001532,LP001535,LP001536,LP001541,LP001543,LP001546,LP001552,LP001560,LP001562,LP001565,LP001570,LP001572,LP001574,LP001577,LP001578,LP001579,LP001580,LP001581,LP001585,LP001586,LP001594,LP001603,LP001606,LP001608,LP001610,LP001616,LP001630,LP001633,LP001634,LP001636,LP001637,LP001639,LP001640,LP001641,LP001643,LP001644,LP001647,LP001653,LP001656,LP001657,LP001658,LP001664,LP001665,LP001666,LP001669,LP001671,LP001673,LP001674,LP001677,LP001682,LP001688,LP001691,LP001692,LP001693,LP001698,LP001699,LP001702,LP001708,LP001711,LP001713,LP001715,LP001716,LP001720,LP001722,LP001726,LP001732,LP001734,LP001736,LP001743,LP001744,LP001749,LP001750,LP001751,LP001754,LP001758,LP001760,LP001761,LP001765,LP001768,LP001770,LP001776,LP001778,LP001784,LP001786,LP001788,LP001790,LP001792,LP001798,LP001800,LP001806,LP001807,LP001811,LP001813,LP001814,LP001819,LP001824,LP001825,LP001835,LP001836,LP001841,LP001843,LP001844,LP001846,LP001849,LP001854,LP001859,LP001864,LP001865,LP001868,LP001870,LP001871,LP001872,LP001875,LP001877,LP001882,LP001883,LP001884,LP001888,LP001891,LP001892,LP001894,LP001896,LP001900,LP001903,LP001904,LP001907,LP001908,LP001910,LP001914,LP001915,LP001917,LP001922,LP001924,LP001925,LP001926,LP001931,LP001935,LP001936,LP001938,LP001940,LP001945,LP001947,LP001949,LP001953,LP001954,LP001955,LP001963,LP001964,LP001972,LP001974,LP001977,LP001978,LP001990,LP001993,LP001994,LP001996,LP001998,LP002002,LP002004,LP002006,LP002008,LP002024,LP002031,LP002035,LP002036,LP002043,LP002050,LP002051,LP002053,LP002054,LP002055,LP002065,LP002067,LP002068,LP002082,LP002086,LP002087,LP002097,LP002098,LP002100,LP002101,LP002103,LP002106,LP002110,LP002112,LP002113,LP002114,LP002115,LP002116,LP002119,LP002126,LP002128,LP002129,LP002130,LP002131,LP002137,LP002138,LP002139,LP002140,LP002141,LP002142,LP002143,LP002144,LP002149,LP002151,LP002158,LP002160,LP002161,LP002170,LP002175,LP002178,LP002180,LP002181,LP002187,LP002188,LP002190,LP002191,LP002194,LP002197,LP002201,LP002205,LP002209,LP002211,LP002219,LP002223,LP002224,LP002225,LP002226,LP002229,LP002231,LP002234,LP002236,LP002237,LP002239,LP002243,LP002244,LP002250,LP002255,LP002262,LP002263,LP002265,LP002266,LP002272,LP002277,LP002281,LP002284,LP002287,LP002288,LP002296,LP002297,LP002300,LP002301,LP002305,LP002308,LP002314,LP002315,LP002317,LP002318,LP002319,LP002328,LP002332,LP002335,LP002337,LP002341,LP002342,LP002345,LP002347,LP002348,LP002357,LP002361,LP002362,LP002364,LP002366,LP002367,LP002368,LP002369,LP002370,LP002377,LP002379,LP002386,LP002387,LP002390,LP002393,LP002398,LP002401,LP002403,LP002407,LP002408,LP002409,LP002418,LP002422,LP002424,LP002429,LP002434,LP002435,LP002443,LP002444,LP002446,LP002447,LP002448,LP002449,LP002453,LP002455,LP002459,LP002467,LP002472,LP002473,LP002478,LP002484,LP002487,LP002489,LP002493,LP002494,LP002500,LP002501,LP002502,LP002505,LP002515,LP002517,LP002519,LP002522,LP002524,LP002527,LP002529,LP002530,LP002531,LP002533,LP002534,LP002536,LP002537,LP002541,LP002543,LP002544,LP002545,LP002547,LP002555,LP002556,LP002560,LP002562,LP002571,LP002582,LP002585,LP002586,LP002587,LP002588,LP002600,LP002602,LP002603,LP002606,LP002615,LP002618,LP002619,LP002622,LP002624,LP002625,LP002626,LP002634,LP002637,LP002640,LP002643,LP002648,LP002652,LP002659,LP002670,LP002682,LP002683,LP002684,LP002689,LP002690,LP002692,LP002693,LP002697,LP002699,LP002705,LP002706,LP002714,LP002716,LP002717,LP002720,LP002723,LP002729,LP002731,LP002732,LP002734,LP002738,LP002739,LP002740,LP002741,LP002743,LP002753,LP002755,LP002757,LP002767,LP002768,LP002772,LP002776,LP002777,LP002778,LP002784,LP002785,LP002788,LP002789,LP002792,LP002794,LP002795,LP002798,LP002804,LP002807,LP002813,LP002820,LP002821,LP002832,LP002833,LP002836,LP002837,LP002840,LP002841,LP002842,LP002847,LP002855,LP002862,LP002863,LP002868,LP002872,LP002874,LP002877,LP002888,LP002892,LP002893,LP002894,LP002898,LP002911,LP002912,LP002916,LP002917,LP002925,LP002926,LP002928,LP002931,LP002933,LP002936,LP002938,LP002940,LP002941,LP002943,LP002945,LP002948,LP002949,LP002950,LP002953,LP002958,LP002959,LP002960,LP002961,LP002964,LP002974,LP002978,LP002979,LP002983,LP002984,LP002990}
@attribute Gender {Male,Female}
@attribute Married {No,Yes}
@attribute Dependents numeric
@attribute Education {Graduate,'Not Graduate'}
@attribute Self_Employed {No,Yes}
@attribute ApplicantIncome numeric
@attribute CoapplicantIncome numeric
@attribute LoanAmount numeric
@attribute Loan_Status {Y,N}

@data
LP001350,Male,Yes,0,Graduate,No,13650,0,146,Y
LP001356,Male,Yes,0,Graduate,No,4652,3583,146,Y
LP001357,Male,No,0,Graduate,No,3816,754,160,Y
LP001367,Male,Yes,1,Graduate,No,3052,1030,100,Y
LP001369,Male,Yes,2,Graduate,No,11417,1126,225,Y
LP001370,Male,No,0,'Not Graduate',?,7333,0,120,N
LP001379,Male,Yes,2,Graduate,No,3800,3600,216,N
LP001384,Male,Yes,3,'Not Graduate',No,2071,754,94,Y
LP001385,Male,No,0,Graduate,No,5316,0,136,Y
LP001387,Female,Yes,0,Graduate,?,2929,2333,139,Y
LP001391,Male,Yes,0,'Not Graduate',No,3572,4114,152,N
LP001392,Female,No,1,Graduate,Yes,7451,0,146,Y
LP001398,Male,No,0,Graduate,?,5050,0,118,Y
LP001401,Male,Yes,1,Graduate,No,14583,0,185,Y
LP001404,Female,Yes,0,Graduate,No,3167,2283,154,Y
LP001405,Male,Yes,1,Graduate,No,2214,1398,85,Y
LP001421,Male,Yes,0,Graduate,No,5568,2142,175,N
LP001422,Female,No,0,Graduate,No,10408,0,259,Y
LP001426,Male,Yes,0,Graduate,No,5667,2667,180,Y
LP001430,Female,No,0,Graduate,No,4166,0,44,Y
LP001431,Female,No,0,Graduate,No,2137,8980,137,Y
LP001432,Male,Yes,2,Graduate,No,2957,0,81,Y
LP001439,Male,Yes,0,'Not Graduate',No,4300,2014,194,Y
LP001443,Female,No,0,Graduate,No,3692,0,93,Y
LP001448,Male,Yes,3,Graduate,No,23803,0,370,Y
LP001449,Male,No,0,Graduate,No,3865,1640,146,Y
LP001451,Male,Yes,1,Graduate,Yes,10513,3850,160,N
LP001465,Male,Yes,0,Graduate,No,6080,2569,182,N
LP001469,Male,No,0,Graduate,Yes,20166,0,650,Y
LP001473,Male,No,0,Graduate,No,2014,1929,74,Y
LP001478,Male,No,0,Graduate,No,2718,0,70,Y
LP001482,Male,Yes,0,Graduate,Yes,3459,0,25,Y
LP001487,Male,No,0,Graduate,No,4895,0,102,Y
LP001488,Male,Yes,3,Graduate,No,4000,7750,290,N
LP001489,Female,Yes,0,Graduate,No,4583,0,84,N
LP001491,Male,Yes,2,Graduate,Yes,3316,3500,88,Y
LP001492,Male,No,0,Graduate,No,14999,0,242,N
LP001493,Male,Yes,2,'Not Graduate',No,4200,1430,129,N
LP001497,Male,Yes,2,Graduate,No,5042,2083,185,N
LP001498,Male,No,0,Graduate,No,5417,0,168,Y
LP001504,Male,No,0,Graduate,Yes,6950,0,175,Y
LP001507,Male,Yes,0,Graduate,No,2698,2034,122,Y
LP001508,Male,Yes,2,Graduate,No,11757,0,187,Y
LP001514,Female,Yes,0,Graduate,No,2330,4486,100,Y
LP001516,Female,Yes,2,Graduate,No,14866,0,70,Y
LP001518,Male,Yes,1,Graduate,No,1538,1425,30,Y
LP001519,Female,No,0,Graduate,No,10000,1666,225,N
LP001520,Male,Yes,0,Graduate,No,4860,830,125,Y
LP001528,Male,No,0,Graduate,No,6277,0,118,N
LP001529,Male,Yes,0,Graduate,Yes,2577,3750,152,Y
LP001531,Male,No,0,Graduate,No,9166,0,244,N
LP001532,Male,Yes,2,'Not Graduate',No,2281,0,113,N
LP001535,Male,No,0,Graduate,No,3254,0,50,Y
LP001536,Male,Yes,3,Graduate,No,39999,0,600,Y
LP001541,Male,Yes,1,Graduate,No,6000,0,160,Y
LP001543,Male,Yes,1,Graduate,No,9538,0,187,Y
LP001546,Male,No,0,Graduate,?,2980,2083,120,Y
LP001552,Male,Yes,0,Graduate,No,4583,5625,255,Y
LP001560,Male,Yes,0,'Not Graduate',No,1863,1041,98,Y
LP001562,Male,Yes,0,Graduate,No,7933,0,275,N
LP001565,Male,Yes,1,Graduate,No,3089,1280,121,N
LP001570,Male,Yes,2,Graduate,No,4167,1447,158,Y
LP001572,Male,Yes,0,Graduate,No,9323,0,75,Y
LP001574,Male,Yes,0,Graduate,No,3707,3166,182,Y
LP001577,Female,Yes,0,Graduate,No,4583,0,112,N
LP001578,Male,Yes,0,Graduate,No,2439,3333,129,Y
LP001579,Male,No,0,Graduate,No,2237,0,63,N
LP001580,Male,Yes,2,Graduate,No,8000,0,200,Y
LP001581,Male,Yes,0,'Not Graduate',?,1820,1769,95,Y
LP001585,Male,Yes,3,Graduate,No,51763,0,700,Y
LP001586,Male,Yes,3,'Not Graduate',No,3522,0,81,N
LP001594,Male,Yes,0,Graduate,No,5708,5625,187,Y
LP001603,Male,Yes,0,'Not Graduate',Yes,4344,736,87,N
LP001606,Male,Yes,0,Graduate,No,3497,1964,116,Y
LP001608,Male,Yes,2,Graduate,No,2045,1619,101,Y
LP001610,Male,Yes,3,Graduate,No,5516,11300,495,N
LP001616,Male,Yes,1,Graduate,No,3750,0,116,Y
LP001630,Male,No,0,'Not Graduate',No,2333,1451,102,N
LP001633,Male,Yes,1,Graduate,No,6400,7250,180,N
LP001634,Male,No,0,Graduate,No,1916,5063,67,N
LP001636,Male,Yes,0,Graduate,No,4600,0,73,Y
LP001637,Male,Yes,1,Graduate,No,33846,0,260,N
LP001639,Female,Yes,0,Graduate,No,3625,0,108,Y
LP001640,Male,Yes,0,Graduate,Yes,39147,4750,120,Y
LP001641,Male,Yes,1,Graduate,Yes,2178,0,66,N
LP001643,Male,Yes,0,Graduate,No,2383,2138,58,Y
LP001644,Male,Yes,0,Graduate,Yes,674,5296,168,Y
LP001647,Male,Yes,0,Graduate,No,9328,0,188,Y
LP001653,Male,No,0,'Not Graduate',No,4885,0,48,Y
LP001656,Male,No,0,Graduate,No,12000,0,164,N
LP001657,Male,Yes,0,'Not Graduate',No,6033,0,160,N
LP001658,Male,No,0,Graduate,No,3858,0,76,Y
LP001664,Male,No,0,Graduate,No,4191,0,120,Y
LP001665,Male,Yes,1,Graduate,No,3125,2583,170,N
LP001666,Male,No,0,Graduate,No,8333,3750,187,Y
LP001669,Female,No,0,'Not Graduate',No,1907,2365,120,Y
LP001671,Female,Yes,0,Graduate,No,3416,2816,113,Y
LP001673,Male,No,0,Graduate,Yes,11000,0,83,N
LP001674,Male,Yes,1,'Not Graduate',No,2600,2500,90,Y
LP001677,Male,No,2,Graduate,No,4923,0,166,Y
LP001682,Male,Yes,3,'Not Graduate',No,3992,0,146,N
LP001688,Male,Yes,1,'Not Graduate',No,3500,1083,135,Y
LP001691,Male,Yes,2,'Not Graduate',No,3917,0,124,Y
LP001692,Female,No,0,'Not Graduate',No,4408,0,120,Y
LP001693,Female,No,0,Graduate,No,3244,0,80,Y
LP001698,Male,No,0,'Not Graduate',No,3975,2531,55,Y
LP001699,Male,No,0,Graduate,No,2479,0,59,Y
LP001702,Male,No,0,Graduate,No,3418,0,127,N
LP001708,Female,No,0,Graduate,No,10000,0,214,N
LP001711,Male,Yes,3,Graduate,No,3430,1250,128,N
LP001713,Male,Yes,1,Graduate,Yes,7787,0,240,Y
LP001715,Male,Yes,3,'Not Graduate',Yes,5703,0,130,Y
LP001716,Male,Yes,0,Graduate,No,3173,3021,137,Y
LP001720,Male,Yes,3,'Not Graduate',No,3850,983,100,Y
LP001722,Male,Yes,0,Graduate,No,150,1800,135,N
LP001726,Male,Yes,0,Graduate,No,3727,1775,131,Y
LP001732,Male,Yes,2,Graduate,?,5000,0,72,N
LP001734,Female,Yes,2,Graduate,No,4283,2383,127,Y
LP001736,Male,Yes,0,Graduate,No,2221,0,60,N
LP001743,Male,Yes,2,Graduate,No,4009,1717,116,Y
LP001744,Male,No,0,Graduate,No,2971,2791,144,Y
LP001749,Male,Yes,0,Graduate,No,7578,1010,175,Y
LP001750,Male,Yes,0,Graduate,No,6250,0,128,Y
LP001751,Male,Yes,0,Graduate,No,3250,0,170,N
LP001754,Male,Yes,0,'Not Graduate',Yes,4735,0,138,N
LP001758,Male,Yes,2,Graduate,No,6250,1695,210,Y
LP001760,Male,No,0,Graduate,No,4758,0,158,Y
LP001761,Male,No,0,Graduate,Yes,6400,0,200,Y
LP001765,Male,Yes,1,Graduate,No,2491,2054,104,Y
LP001768,Male,Yes,0,Graduate,?,3716,0,42,Y
LP001770,Male,No,0,'Not Graduate',No,3189,2598,120,Y
LP001776,Female,No,0,Graduate,No,8333,0,280,Y
LP001778,Male,Yes,1,Graduate,No,3155,1779,140,Y
LP001784,Male,Yes,1,Graduate,No,5500,1260,170,Y
LP001786,Male,Yes,0,Graduate,?,5746,0,255,N
LP001788,Female,No,0,Graduate,Yes,3463,0,122,Y
LP001790,Female,No,1,Graduate,No,3812,0,112,Y
